# ITO - d=165.00nm, RMS=0.089128
# λ(nm)  T_exp  T_calc  Residual
7.760000e+02 8.367000e-01 9.700290e-01 1.333290e-01
7.770000e+02 8.364000e-01 9.694232e-01 1.330232e-01
7.780000e+02 8.362000e-01 9.688177e-01 1.326177e-01
7.790000e+02 8.359000e-01 9.682125e-01 1.323125e-01
7.800000e+02 8.356000e-01 9.676077e-01 1.320077e-01
7.810000e+02 8.353000e-01 9.670032e-01 1.317032e-01
7.820000e+02 8.349000e-01 9.663992e-01 1.314992e-01
7.830000e+02 8.346000e-01 9.657957e-01 1.311957e-01
7.840000e+02 8.343000e-01 9.651927e-01 1.308927e-01
7.850000e+02 8.340000e-01 9.645902e-01 1.305902e-01
7.860000e+02 8.338000e-01 9.639882e-01 1.301882e-01
7.870000e+02 8.335000e-01 9.633868e-01 1.298868e-01
7.880000e+02 8.333000e-01 9.627861e-01 1.294861e-01
7.890000e+02 8.330000e-01 9.621859e-01 1.291859e-01
7.900000e+02 8.328000e-01 9.615865e-01 1.287865e-01
7.910000e+02 8.326000e-01 9.609878e-01 1.283878e-01
7.920000e+02 8.325000e-01 9.603897e-01 1.278897e-01
7.930000e+02 8.322000e-01 9.597925e-01 1.275925e-01
7.940000e+02 8.320000e-01 9.591960e-01 1.271960e-01
7.950000e+02 8.318000e-01 9.586003e-01 1.268003e-01
7.960000e+02 8.316000e-01 9.580054e-01 1.264054e-01
7.970000e+02 8.314000e-01 9.574114e-01 1.260114e-01
7.980000e+02 8.311000e-01 9.568182e-01 1.257182e-01
7.990000e+02 8.309000e-01 9.562260e-01 1.253260e-01
8.000000e+02 8.307000e-01 9.556346e-01 1.249346e-01
8.010000e+02 8.305000e-01 9.550381e-01 1.245381e-01
8.020000e+02 8.303000e-01 9.544308e-01 1.241308e-01
8.030000e+02 8.300000e-01 9.538131e-01 1.238131e-01
8.040000e+02 8.296000e-01 9.531856e-01 1.235856e-01
8.050000e+02 8.294000e-01 9.525486e-01 1.231486e-01
8.060000e+02 8.292000e-01 9.519026e-01 1.227026e-01
8.070000e+02 8.290000e-01 9.512482e-01 1.222482e-01
8.080000e+02 8.288000e-01 9.505857e-01 1.217857e-01
8.090000e+02 8.285000e-01 9.499156e-01 1.214156e-01
8.100000e+02 8.283000e-01 9.492383e-01 1.209383e-01
