ESTIMATED THICKNESSES NOBS=195
Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
7.18556701030927797547e+02 8.59179100141465257323e-01
7.21649484536082468367e+02 8.57710117094908075508e-01
7.24742268041237139187e+02 8.56220028247505315910e-01
7.27835051546391696320e+02 8.54710577585318986849e-01
7.30927835051546480827e+02 8.53183457585781845900e-01
7.34020618556701037960e+02 8.51743655544044298011e-01
7.37113402061855708780e+02 8.50287589573090585304e-01
7.40206185567010379600e+02 8.48816819153490831340e-01
7.43298969072164936733e+02 8.47332852601333952336e-01
7.46391752577319607553e+02 8.46001579570598516433e-01
7.49484536082474278373e+02 8.44657127478031122259e-01
7.52577319587628835507e+02 8.43671072650908682178e-01
7.55670103092783506327e+02 8.42668414768504070445e-01
7.58762886597938177147e+02 8.41650543415683682902e-01
7.61855670103092734280e+02 8.40618803893189769916e-01
7.64948453608247518787e+02 8.39755876772006359943e-01
7.68041237113402075920e+02 8.38878743718497354998e-01
7.71134020618556633053e+02 8.37988661979359505949e-01
7.74226804123711417560e+02 8.37358690550791262552e-01
7.77319587628865974693e+02 8.36713983349403611633e-01
7.80412371134020645513e+02 8.36055737675089116756e-01
7.83505154639175316333e+02 8.35457902336817603839e-01
7.86597938144329873467e+02 8.34847725179265420792e-01
7.89690721649484544287e+02 8.34261503394393644228e-01
7.92783505154639215107e+02 8.33664586286635977963e-01
7.95876288659793772240e+02 8.33058008406223127196e-01
7.98969072164948443060e+02 8.32442768281970391087e-01
8.02061855670103113880e+02 8.31819979094439498901e-01
8.05154639175257671013e+02 8.31190416490924066650e-01
8.08247422680412455520e+02 8.30554974072535978635e-01
8.11340206185567012653e+02 8.29914511617746319949e-01
8.14432989690721683473e+02 8.29269855720056736637e-01
8.17525773195876354293e+02 8.28700172991140071588e-01
8.20618556701030911427e+02 8.28126764705580775683e-01
8.23711340206185582247e+02 8.27550383713308579381e-01
8.26804123711340253067e+02 8.27018516205457077106e-01
8.29896907216494810200e+02 8.26585975884344792419e-01
8.32989690721649481020e+02 8.26150580965945402490e-01
8.36082474226804151840e+02 8.25766258335427050241e-01
8.39175257731958708973e+02 8.25379720626778223824e-01
8.42268041237113493480e+02 8.25089951324583292802e-01
8.45360824742268050613e+02 8.24797981478770259045e-01
8.48453608247422721433e+02 8.24504422413711801632e-01
8.51546391752577392253e+02 8.24209860590104814726e-01
8.54639175257731949387e+02 8.24037188822385746612e-01
8.57731958762886620207e+02 8.23863158811909745971e-01
8.60824742268041291027e+02 8.23688318192539070672e-01
8.63917525773195848160e+02 8.23513192107564351296e-01
8.67010309278350518980e+02 8.23338283788718539036e-01
8.70103092783505189800e+02 8.23164075135005446349e-01
8.73195876288659746933e+02 8.22991027290013055229e-01
8.76288659793814531440e+02 8.22819581216493012299e-01
8.79381443298969088573e+02 8.22650158267092868059e-01
8.82474226804123645707e+02 8.22477691893241935617e-01
8.85567010309278430213e+02 8.22308093863858280415e-01
8.88659793814432987347e+02 8.22141728649715020083e-01
8.91752577319587658167e+02 8.21978943351085455937e-01
8.94845360824742328987e+02 8.21820068237158807278e-01
8.97938144329896886120e+02 8.21665417276900122978e-01
9.01030927835051556940e+02 8.21515288660862541548e-01
9.04123711340206227760e+02 8.21369965313544669883e-01
9.07216494845360784893e+02 8.21229715395935810918e-01
9.10309278350515455713e+02 8.21094792797944061924e-01
9.13402061855670126533e+02 8.20965437620463367452e-01
